,Актер,Роль,Число лайков,Число дизлайков,Рейтинг,Фото
0,Лидия Федосеева-Шукшина,Королева Флора,97,21,76,jpeg/Королева(Федосеева-Шукшина).jpeg
1,Вячеслав Невинный,Король Теодор,139,4,135,jpeg/Король(Невинный).jpeg
2,Игорь Красавин,Патрик,116,12,104,jpeg/Патрик(Красавин).jpeg
3,Варвара Владимирова,Альбина,129,7,122,jpeg/Альбина(Владимирова).jpeg
4,Светлана Селезнёва,Марселла,88,20,68,jpeg/Марселла(Селезнева).jpeg
5,Регина Разума,Оттилия,106,7,99,jpeg/Оттилия(Разума).jpeg
6,Альберт Филозов,Канцлер граф Давиль,129,4,125,jpeg/Канцлер(Филозов).jpeg
7,Артём Тынкасов,Пенапью,120,2,118,jpeg/Пенапью(Тынкасов).jpeg
8,Елена Антонова,Марта Веснушка,89,10,79,jpeg/Марта(Антонова).jpeg
9,Владимир Ставицкий,Жак Веснушка,105,4,101,jpeg/Жак(Ставицкий).jpeg
10,Анатолий Рудаков,Капитан Удилак,114,3,111,jpeg/Удилак(Рудаков).jpeg
11,Юрий Багинян,Лысый лакей,73,2,71,jpeg/Лакей(Багинян).jpeg
12,Александр Денисов,Главарь разбойников,93,3,90,jpeg/Разбойник(Денисов).jpeg
13,Валентин Букин,Хозяин таверны,64,5,59,jpeg/Хозяин(Букин).jpeg
14,Анатолий Голуб,Студент,37,1,36,jpeg/Студент(Голуб).jpeg
15,Владимир Зубенко,Музыкант,20,0,20,jpeg/Музыкант(Зубенко).jpeg
16,Владимир Корпусь,Жандарм,21,0,21,jpeg/Жандарм(Корпусь).jpeg
17,Валерий Мороз,Дворецкий,19,0,19,jpeg/Дворецкий(Мороз).jpeg
18,Леонид Нечаев,Точильщик ножей,51,1,50,jpeg/Точильщик(Нечаев).jpeg
19,Ростислав Рахт,Шарманщик,24,0,24,jpeg/Шармарщик(Рахт).jpeg
